"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"Thriftiness and Urgency - ALL ERP on"
"04/02/2012 12:26:29:166 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-urgent","mid-urgent","var-thrift","mid-thrift","[step]","total-wait-count"
"181","0.30000000000000004","0.2","0.1","0.2","100","1309"
"182","0.30000000000000004","0.2","0.1","0.5","100","1309"
"183","0.30000000000000004","0.2","0.1","1","100","1294"
"179","0.2","1","1","0.5","100","1306"
"184","0.30000000000000004","0.2","0.2","0.2","100","1281"
"186","0.30000000000000004","0.2","0.2","1","100","1275"
"187","0.30000000000000004","0.2","0.30000000000000004","0.2","100","1291"
"188","0.30000000000000004","0.2","0.30000000000000004","0.5","100","1274"
"189","0.30000000000000004","0.2","0.30000000000000004","1","100","1301"
"190","0.30000000000000004","0.2","0.4","0.2","100","1272"
"185","0.30000000000000004","0.2","0.2","0.5","100","1280"
"191","0.30000000000000004","0.2","0.4","0.5","100","1283"
"193","0.30000000000000004","0.2","0.5","0.2","100","1271"
"194","0.30000000000000004","0.2","0.5","0.5","100","1287"
"195","0.30000000000000004","0.2","0.5","1","100","1295"
"196","0.30000000000000004","0.2","0.6","0.2","100","1295"
"192","0.30000000000000004","0.2","0.4","1","100","1301"
"197","0.30000000000000004","0.2","0.6","0.5","100","1282"
"199","0.30000000000000004","0.2","0.7000000000000001","0.2","100","1284"
"200","0.30000000000000004","0.2","0.7000000000000001","0.5","100","1291"
"201","0.30000000000000004","0.2","0.7000000000000001","1","100","1300"
"202","0.30000000000000004","0.2","0.8","0.2","100","1292"
"198","0.30000000000000004","0.2","0.6","1","100","1275"
"203","0.30000000000000004","0.2","0.8","0.5","100","1278"
"205","0.30000000000000004","0.2","0.9","0.2","100","1303"
"206","0.30000000000000004","0.2","0.9","0.5","100","1280"
"207","0.30000000000000004","0.2","0.9","1","100","1292"
"208","0.30000000000000004","0.2","1","0.2","100","1304"
"209","0.30000000000000004","0.2","1","0.5","100","1272"
"204","0.30000000000000004","0.2","0.8","1","100","1287"
"210","0.30000000000000004","0.2","1","1","100","1282"
"212","0.30000000000000004","0.5","0.1","0.5","100","1301"
"213","0.30000000000000004","0.5","0.1","1","100","1280"
"214","0.30000000000000004","0.5","0.2","0.2","100","1296"
"215","0.30000000000000004","0.5","0.2","0.5","100","1285"
"211","0.30000000000000004","0.5","0.1","0.2","100","1298"
"216","0.30000000000000004","0.5","0.2","1","100","1280"
"218","0.30000000000000004","0.5","0.30000000000000004","0.5","100","1293"
"219","0.30000000000000004","0.5","0.30000000000000004","1","100","1283"
"220","0.30000000000000004","0.5","0.4","0.2","100","1292"
"217","0.30000000000000004","0.5","0.30000000000000004","0.2","100","1284"
"221","0.30000000000000004","0.5","0.4","0.5","100","1301"
"223","0.30000000000000004","0.5","0.5","0.2","100","1284"
"224","0.30000000000000004","0.5","0.5","0.5","100","1275"
"225","0.30000000000000004","0.5","0.5","1","100","1287"
"226","0.30000000000000004","0.5","0.6","0.2","100","1292"
"222","0.30000000000000004","0.5","0.4","1","100","1310"
"227","0.30000000000000004","0.5","0.6","0.5","100","1289"
"229","0.30000000000000004","0.5","0.7000000000000001","0.2","100","1305"
"230","0.30000000000000004","0.5","0.7000000000000001","0.5","100","1297"
"231","0.30000000000000004","0.5","0.7000000000000001","1","100","1289"
"232","0.30000000000000004","0.5","0.8","0.2","100","1281"
"228","0.30000000000000004","0.5","0.6","1","100","1289"
"233","0.30000000000000004","0.5","0.8","0.5","100","1307"
"235","0.30000000000000004","0.5","0.9","0.2","100","1291"
"236","0.30000000000000004","0.5","0.9","0.5","100","1284"
"237","0.30000000000000004","0.5","0.9","1","100","1296"
"238","0.30000000000000004","0.5","1","0.2","100","1280"
"234","0.30000000000000004","0.5","0.8","1","100","1287"
"239","0.30000000000000004","0.5","1","0.5","100","1296"
"241","0.30000000000000004","1","0.1","0.2","100","1321"
"242","0.30000000000000004","1","0.1","0.5","100","1313"
"243","0.30000000000000004","1","0.1","1","100","1291"
"244","0.30000000000000004","1","0.2","0.2","100","1327"
"240","0.30000000000000004","0.5","1","1","100","1284"
"245","0.30000000000000004","1","0.2","0.5","100","1297"
"247","0.30000000000000004","1","0.30000000000000004","0.2","100","1289"
"248","0.30000000000000004","1","0.30000000000000004","0.5","100","1288"
"249","0.30000000000000004","1","0.30000000000000004","1","100","1288"
"250","0.30000000000000004","1","0.4","0.2","100","1292"
"246","0.30000000000000004","1","0.2","1","100","1286"
"251","0.30000000000000004","1","0.4","0.5","100","1298"
"253","0.30000000000000004","1","0.5","0.2","100","1320"
"254","0.30000000000000004","1","0.5","0.5","100","1288"
"255","0.30000000000000004","1","0.5","1","100","1294"
"256","0.30000000000000004","1","0.6","0.2","100","1318"
"252","0.30000000000000004","1","0.4","1","100","1285"
"257","0.30000000000000004","1","0.6","0.5","100","1291"
"259","0.30000000000000004","1","0.7000000000000001","0.2","100","1305"
"260","0.30000000000000004","1","0.7000000000000001","0.5","100","1278"
"261","0.30000000000000004","1","0.7000000000000001","1","100","1321"
"262","0.30000000000000004","1","0.8","0.2","100","1317"
"258","0.30000000000000004","1","0.6","1","100","1313"
"263","0.30000000000000004","1","0.8","0.5","100","1288"
"265","0.30000000000000004","1","0.9","0.2","100","1291"
"266","0.30000000000000004","1","0.9","0.5","100","1315"
"267","0.30000000000000004","1","0.9","1","100","1317"
"264","0.30000000000000004","1","0.8","1","100","1298"
"268","0.30000000000000004","1","1","0.2","100","1293"
"270","0.30000000000000004","1","1","1","100","1317"
"271","0.4","0.2","0.1","0.2","100","1268"
"272","0.4","0.2","0.1","0.5","100","1291"
"273","0.4","0.2","0.1","1","100","1296"
"269","0.30000000000000004","1","1","0.5","100","1309"
"274","0.4","0.2","0.2","0.2","100","1300"
"275","0.4","0.2","0.2","0.5","100","1322"
"276","0.4","0.2","0.2","1","100","1284"
"277","0.4","0.2","0.30000000000000004","0.2","100","1288"
"278","0.4","0.2","0.30000000000000004","0.5","100","1279"
"280","0.4","0.2","0.4","0.2","100","1303"
"279","0.4","0.2","0.30000000000000004","1","100","1272"
"281","0.4","0.2","0.4","0.5","100","1289"
"282","0.4","0.2","0.4","1","100","1277"
"283","0.4","0.2","0.5","0.2","100","1312"
"284","0.4","0.2","0.5","0.5","100","1293"
"285","0.4","0.2","0.5","1","100","1270"
"286","0.4","0.2","0.6","0.2","100","1292"
"287","0.4","0.2","0.6","0.5","100","1282"
"289","0.4","0.2","0.7000000000000001","0.2","100","1278"
"288","0.4","0.2","0.6","1","100","1285"
"290","0.4","0.2","0.7000000000000001","0.5","100","1279"
"291","0.4","0.2","0.7000000000000001","1","100","1293"
"292","0.4","0.2","0.8","0.2","100","1286"
"293","0.4","0.2","0.8","0.5","100","1292"
"294","0.4","0.2","0.8","1","100","1287"
"295","0.4","0.2","0.9","0.2","100","1275"
"296","0.4","0.2","0.9","0.5","100","1292"
"298","0.4","0.2","1","0.2","100","1280"
"297","0.4","0.2","0.9","1","100","1289"
"299","0.4","0.2","1","0.5","100","1291"
"300","0.4","0.2","1","1","100","1277"
"301","0.4","0.5","0.1","0.2","100","1297"
"302","0.4","0.5","0.1","0.5","100","1309"
"303","0.4","0.5","0.1","1","100","1274"
"304","0.4","0.5","0.2","0.2","100","1299"
"305","0.4","0.5","0.2","0.5","100","1284"
"307","0.4","0.5","0.30000000000000004","0.2","100","1302"
"306","0.4","0.5","0.2","1","100","1280"
"308","0.4","0.5","0.30000000000000004","0.5","100","1300"
"309","0.4","0.5","0.30000000000000004","1","100","1282"
"310","0.4","0.5","0.4","0.2","100","1297"
"311","0.4","0.5","0.4","0.5","100","1295"
"312","0.4","0.5","0.4","1","100","1289"
"313","0.4","0.5","0.5","0.2","100","1302"
"314","0.4","0.5","0.5","0.5","100","1271"
"316","0.4","0.5","0.6","0.2","100","1287"
"315","0.4","0.5","0.5","1","100","1277"
"317","0.4","0.5","0.6","0.5","100","1295"
"318","0.4","0.5","0.6","1","100","1286"
"319","0.4","0.5","0.7000000000000001","0.2","100","1307"
"320","0.4","0.5","0.7000000000000001","0.5","100","1276"
"321","0.4","0.5","0.7000000000000001","1","100","1279"
"322","0.4","0.5","0.8","0.2","100","1295"
"323","0.4","0.5","0.8","0.5","100","1290"
"325","0.4","0.5","0.9","0.2","100","1298"
"324","0.4","0.5","0.8","1","100","1288"
"326","0.4","0.5","0.9","0.5","100","1300"
"327","0.4","0.5","0.9","1","100","1295"
"328","0.4","0.5","1","0.2","100","1315"
"329","0.4","0.5","1","0.5","100","1298"
"330","0.4","0.5","1","1","100","1282"
"331","0.4","1","0.1","0.2","100","1311"
"332","0.4","1","0.1","0.5","100","1299"
"333","0.4","1","0.1","1","100","1286"
"334","0.4","1","0.2","0.2","100","1302"
"335","0.4","1","0.2","0.5","100","1326"
"336","0.4","1","0.2","1","100","1297"
"338","0.4","1","0.30000000000000004","0.5","100","1318"
"337","0.4","1","0.30000000000000004","0.2","100","1286"
"339","0.4","1","0.30000000000000004","1","100","1278"
"340","0.4","1","0.4","0.2","100","1315"
"341","0.4","1","0.4","0.5","100","1301"
"342","0.4","1","0.4","1","100","1287"
"343","0.4","1","0.5","0.2","100","1295"
"344","0.4","1","0.5","0.5","100","1302"
"345","0.4","1","0.5","1","100","1299"
"347","0.4","1","0.6","0.5","100","1293"
"346","0.4","1","0.6","0.2","100","1311"
"348","0.4","1","0.6","1","100","1282"
"349","0.4","1","0.7000000000000001","0.2","100","1302"
"350","0.4","1","0.7000000000000001","0.5","100","1292"
"351","0.4","1","0.7000000000000001","1","100","1283"
"352","0.4","1","0.8","0.2","100","1297"
"353","0.4","1","0.8","0.5","100","1285"
"354","0.4","1","0.8","1","100","1312"
"356","0.4","1","0.9","0.5","100","1323"
"355","0.4","1","0.9","0.2","100","1311"
"357","0.4","1","0.9","1","100","1283"
"358","0.4","1","1","0.2","100","1304"
"359","0.4","1","1","0.5","100","1297"
"361","0.5","0.2","0.1","0.2","100","1282"
"360","0.4","1","1","1","100","1302"
"362","0.5","0.2","0.1","0.5","100","1280"
"363","0.5","0.2","0.1","1","100","1286"
"364","0.5","0.2","0.2","0.2","100","1305"
"365","0.5","0.2","0.2","0.5","100","1286"
"366","0.5","0.2","0.2","1","100","1281"
"368","0.5","0.2","0.30000000000000004","0.5","100","1280"
"367","0.5","0.2","0.30000000000000004","0.2","100","1280"
"369","0.5","0.2","0.30000000000000004","1","100","1275"
"370","0.5","0.2","0.4","0.2","100","1309"
"371","0.5","0.2","0.4","0.5","100","1276"
"372","0.5","0.2","0.4","1","100","1277"
"373","0.5","0.2","0.5","0.2","100","1273"
"374","0.5","0.2","0.5","0.5","100","1292"
"375","0.5","0.2","0.5","1","100","1281"
"377","0.5","0.2","0.6","0.5","100","1285"
"376","0.5","0.2","0.6","0.2","100","1287"
"378","0.5","0.2","0.6","1","100","1291"
"379","0.5","0.2","0.7000000000000001","0.2","100","1273"
"380","0.5","0.2","0.7000000000000001","0.5","100","1293"
"381","0.5","0.2","0.7000000000000001","1","100","1291"
"382","0.5","0.2","0.8","0.2","100","1302"
"383","0.5","0.2","0.8","0.5","100","1305"
"384","0.5","0.2","0.8","1","100","1311"
"385","0.5","0.2","0.9","0.2","100","1280"
"386","0.5","0.2","0.9","0.5","100","1286"
"388","0.5","0.2","1","0.2","100","1278"
"387","0.5","0.2","0.9","1","100","1287"
"389","0.5","0.2","1","0.5","100","1295"
"390","0.5","0.2","1","1","100","1296"
"391","0.5","0.5","0.1","0.2","100","1289"
"393","0.5","0.5","0.1","1","100","1272"
"392","0.5","0.5","0.1","0.5","100","1309"
"394","0.5","0.5","0.2","0.2","100","1299"
"395","0.5","0.5","0.2","0.5","100","1311"
"396","0.5","0.5","0.2","1","100","1280"
"397","0.5","0.5","0.30000000000000004","0.2","100","1306"
"398","0.5","0.5","0.30000000000000004","0.5","100","1299"
"399","0.5","0.5","0.30000000000000004","1","100","1273"
"400","0.5","0.5","0.4","0.2","100","1300"
"401","0.5","0.5","0.4","0.5","100","1298"
"402","0.5","0.5","0.4","1","100","1299"
"404","0.5","0.5","0.5","0.5","100","1317"
"403","0.5","0.5","0.5","0.2","100","1311"
"405","0.5","0.5","0.5","1","100","1297"
"406","0.5","0.5","0.6","0.2","100","1320"
"407","0.5","0.5","0.6","0.5","100","1284"
"408","0.5","0.5","0.6","1","100","1289"
"409","0.5","0.5","0.7000000000000001","0.2","100","1314"
"410","0.5","0.5","0.7000000000000001","0.5","100","1310"
"411","0.5","0.5","0.7000000000000001","1","100","1325"
"413","0.5","0.5","0.8","0.5","100","1286"
"412","0.5","0.5","0.8","0.2","100","1293"
"414","0.5","0.5","0.8","1","100","1297"
"415","0.5","0.5","0.9","0.2","100","1287"
"416","0.5","0.5","0.9","0.5","100","1299"
"417","0.5","0.5","0.9","1","100","1286"
"418","0.5","0.5","1","0.2","100","1287"
"419","0.5","0.5","1","0.5","100","1283"
"420","0.5","0.5","1","1","100","1299"
"421","0.5","1","0.1","0.2","100","1290"
"422","0.5","1","0.1","0.5","100","1286"
"423","0.5","1","0.1","1","100","1284"
"424","0.5","1","0.2","0.2","100","1289"
"426","0.5","1","0.2","1","100","1289"
"425","0.5","1","0.2","0.5","100","1285"
"427","0.5","1","0.30000000000000004","0.2","100","1293"
"428","0.5","1","0.30000000000000004","0.5","100","1322"
"429","0.5","1","0.30000000000000004","1","100","1286"
"430","0.5","1","0.4","0.2","100","1311"
"431","0.5","1","0.4","0.5","100","1312"
"432","0.5","1","0.4","1","100","1274"
"433","0.5","1","0.5","0.2","100","1294"
"435","0.5","1","0.5","1","100","1299"
"434","0.5","1","0.5","0.5","100","1297"
"436","0.5","1","0.6","0.2","100","1312"
"437","0.5","1","0.6","0.5","100","1295"
"438","0.5","1","0.6","1","100","1303"
"439","0.5","1","0.7000000000000001","0.2","100","1300"
"440","0.5","1","0.7000000000000001","0.5","100","1308"
"441","0.5","1","0.7000000000000001","1","100","1304"
"442","0.5","1","0.8","0.2","100","1293"
"443","0.5","1","0.8","0.5","100","1306"
"444","0.5","1","0.8","1","100","1302"
"446","0.5","1","0.9","0.5","100","1288"
"445","0.5","1","0.9","0.2","100","1303"
"447","0.5","1","0.9","1","100","1299"
"448","0.5","1","1","0.2","100","1293"
"449","0.5","1","1","0.5","100","1287"
"450","0.5","1","1","1","100","1310"
"451","0.6","0.2","0.1","0.2","100","1277"
"452","0.6","0.2","0.1","0.5","100","1280"
"453","0.6","0.2","0.1","1","100","1284"
"454","0.6","0.2","0.2","0.2","100","1290"
"455","0.6","0.2","0.2","0.5","100","1284"
"457","0.6","0.2","0.30000000000000004","0.2","100","1299"
"456","0.6","0.2","0.2","1","100","1277"
"458","0.6","0.2","0.30000000000000004","0.5","100","1282"
"459","0.6","0.2","0.30000000000000004","1","100","1275"
"460","0.6","0.2","0.4","0.2","100","1287"
"461","0.6","0.2","0.4","0.5","100","1289"
"462","0.6","0.2","0.4","1","100","1308"
"463","0.6","0.2","0.5","0.2","100","1278"
"464","0.6","0.2","0.5","0.5","100","1277"
"465","0.6","0.2","0.5","1","100","1309"
"466","0.6","0.2","0.6","0.2","100","1283"
"467","0.6","0.2","0.6","0.5","100","1343"
"468","0.6","0.2","0.6","1","100","1283"
"470","0.6","0.2","0.7000000000000001","0.5","100","1288"
"469","0.6","0.2","0.7000000000000001","0.2","100","1282"
"471","0.6","0.2","0.7000000000000001","1","100","1277"
"472","0.6","0.2","0.8","0.2","100","1283"
"473","0.6","0.2","0.8","0.5","100","1297"
"474","0.6","0.2","0.8","1","100","1285"
"475","0.6","0.2","0.9","0.2","100","1316"
"476","0.6","0.2","0.9","0.5","100","1273"
"477","0.6","0.2","0.9","1","100","1290"
"479","0.6","0.2","1","0.5","100","1311"
"478","0.6","0.2","1","0.2","100","1277"
"480","0.6","0.2","1","1","100","1285"
"481","0.6","0.5","0.1","0.2","100","1311"
"482","0.6","0.5","0.1","0.5","100","1297"
